wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
381.51,0.09641094409907434,0.07917715312959633,0.09640886309994472,0.09119302114372585,0.07245614398436703,0.07894383916803493,0.09132344759482279,0.10514968684433933,0.10562824490615645,0.11945861013210274,0.08640905308497535,0.09664804278510523,0.12024776422593382,0.12546725157067745,0.10794689980538891,0.11466906639857785,0.1154689123265003,0.09787409919252688,0.11814035796069429,0.1439911572248572,0.14520775246217207,0.14041251782638386,0.12026801663382042,0.13499401803721334,0.14855405724478352,0.17517480844290417,0.1662774584024193,0.15726873628582339,0.15531363651169172,0.17963103290344012,0.17735750760662908,0.1930039278769073,0.21129713150965262,0.17508090402158197,0.20361236615754227,0.24101163688128957,0.21350903427876589,0.20039318714969817,0.2037335249757491,0.19778079112635635,0.22994988273055092,0.22615523738739413,0.23226116818771048,0.23755477085129736,0.18557090391517325,0.22130354067979668,0.2825561655561451,0.2906512839883085,0.2552002407603925,0.2514751689107166,0.24164384276226408,0.2975102988037908,0.3305076463401466,0.3166764035680687,0.34552224547429894,0.2706052630712973,0.2893435590887432,0.4086884367188962,0.39694947945268216,0.3771697491086213,0.33966955010293604,0.2605504467706432,0.3426639767612053,0.40970560783342136,0.4291469923800119,0.45944281141659804,0.5001047034695274,0.33309586201701386,0.4133228323889302,0.5368723994149233,0.5550423991805364,0.46034641115306685,0.4965652843790568,0.39583286299357967
383.52,0.0911556265782792,0.07964024525482688,0.09478474670487447,0.08671075827349942,0.07063465189312147,0.07842118729029511,0.08858171639961786,0.10807580824239177,0.1016646721783565,0.11372157427122713,0.08539730760563188,0.09755902264257811,0.11619076464976534,0.12355286630178199,0.11069901062157342,0.1127136757175567,0.11059879991472203,0.09647928728339694,0.12047739688891201,0.14239211549246533,0.13564943257533918,0.1312291218237398,0.11770873320456661,0.12864590318117713,0.14448302838310767,0.16472537606212725,0.1658364860405854,0.15325312257054483,0.14936643820860013,0.1801734364526636,0.1773749586338831,0.17960580276694826,0.2004684268765278,0.1665971115673255,0.20318732904958423,0.23257534339068467,0.2080567213316978,0.19917571338287798,0.2082757354543975,0.19201550107175433,0.22850300610951726,0.22772565061176928,0.22076996756884334,0.23421446118064482,0.18375925037880983,0.21430641322890767,0.27227265250522975,0.27164711021504717,0.24563005608647584,0.24062387802534504,0.23442394896554972,0.28493478878631184,0.31947995277727526,0.30624707892957936,0.3313080435923643,0.269129133285555,0.28177245416000063,0.3958838811546706,0.38475696547144483,0.36726419308452,0.32602744636795666,0.2503397434820131,0.3346863962516593,0.41300225576523836,0.42795070634054994,0.4407616442110922,0.465002878936627,0.3335325900849538,0.4122570168377697,0.5313053531432128,0.496122017657716,0.452247196705134,0.47272338042665557,0.3794222620582258
385.52,0.08616606195079549,0.07303952268111036,0.0886939293591672,0.08281198208609274,0.06790319251947273,0.07583206628815041,0.08540887871362393,0.10295879913577091,0.09602047482665528,0.10727947072014268,0.08289967568103054,0.09301326513922656,0.10788671939416097,0.11136659407958871,0.10101217242532362,0.10072548248534023,0.10402291651252936,0.09579973691085635,0.11173861905294495,0.13823182182374283,0.12902908474588762,0.12661911177974866,0.11739156670376762,0.1252999355788623,0.13396995364487307,0.14576368820088884,0.155414758012198,0.1429555771753572,0.14232907601777478,0.1567324811639157,0.16647154127628,0.16672381421357674,0.18865970370280097,0.1590404548492665,0.1911821959981948,0.21695196984857706,0.190855015703095,0.19015920110510662,0.17882872112535403,0.18137997060655195,0.20764231167437686,0.22038227176300104,0.2078428448195037,0.2161485134789386,0.1747869866261313,0.2022399091225075,0.2565027441057692,0.24871921745261488,0.23740978306462732,0.22822743625698438,0.22232787206118668,0.25926863886198315,0.30302737250243356,0.2810833736181958,0.3041207817963907,0.2549548769770521,0.2722618026756546,0.3646125980292406,0.3570074499130888,0.35236697446586146,0.2989368907036339,0.2493191279297075,0.3172559618244385,0.35640013005839644,0.38542924331698053,0.40515716536774055,0.42698549063904107,0.3183970204387293,0.36972535084053554,0.4723588935146344,0.4830620668638208,0.3992027812622009,0.46966535514031504,0.35030896341749324
387.53,0.08010671269556228,0.07109221423902132,0.08127456109581874,0.07801145569341353,0.0632179004184386,0.0725505663838519,0.08007989305640753,0.09517789181028709,0.09250008120840479,0.09889755652291683,0.07921303990551354,0.08480881114967422,0.10206841651052087,0.10465248236805644,0.0940269099870175,0.09774005108917996,0.0981035833575721,0.0896875140345599,0.10113038272108407,0.1243856681420302,0.1238944207118638,0.11302084524936531,0.10511553153077133,0.10969091488006044,0.12851922544282526,0.1413215262826122,0.14231724722944472,0.13285842607671974,0.13436605406134933,0.1481061659632825,0.15260455514128615,0.15496443111770186,0.17325602153726918,0.13944859662783135,0.17207651862882484,0.20109766859129874,0.1834161421488702,0.17407371342303646,0.16725798984688736,0.17283905136618533,0.18809431064116244,0.19363615694608363,0.19313067812212778,0.2061797737841264,0.15664119842767846,0.18127422922595654,0.23301176460458725,0.24107163633925063,0.21842091213919138,0.21046626701815335,0.20431049804198367,0.24182151863819804,0.27380352228091825,0.2551258893593804,0.29120711625820045,0.22931683201786632,0.24745177368555665,0.33140023776409944,0.32616973387705833,0.3074375081318575,0.27541396477587043,0.2322657457495244,0.2897691655764121,0.3357346611339908,0.3543334997830747,0.3663763932309401,0.3990783369448127,0.2872998024830845,0.33999139965942826,0.43489325011257923,0.44420137008048644,0.37986640085576606,0.41525131846889934,0.33926442403904866
389.54,0.07711519198702689,0.06906446256391101,0.07939260893087519,0.07453368604569205,0.06325942744093299,0.070240195605965,0.07833311838504486,0.09039344366033397,0.08766447297673524,0.09478198502287262,0.07597138321877746,0.08433100705546898,0.09977033721858554,0.10193211950214644,0.09114170068271546,0.09541515358919364,0.0943887352522337,0.08563510578858895,0.10041810482649502,0.1192504752797716,0.1152050900320551,0.11142082488518872,0.10112486103977873,0.11133961293486178,0.12312660112224,0.1355111019642158,0.1362329114411998,0.13216186050120685,0.1297892061341451,0.14786336410270523,0.14797135593433539,0.15007881273447157,0.17028968784826415,0.1358307821912254,0.16668767845352261,0.1956176366881074,0.17409642325995506,0.1668960676690629,0.16235860482299477,0.1619776305859255,0.18519697387098835,0.18912941226451738,0.18172615274680204,0.19059957597092972,0.1518383508371882,0.1805808288975511,0.2201585224233514,0.23028147662165607,0.20840857853507233,0.20543380884555418,0.19574743689823254,0.22957302741579888,0.26016780171536835,0.24669144269286086,0.2726891026707721,0.21939578496788723,0.23124588687375686,0.3084456490750813,0.3044011405794654,0.29012835938423776,0.2685696534004039,0.2155729990708707,0.2756658041824668,0.3147166996746982,0.3376235468266996,0.3516559481341789,0.38304715111724763,0.27194566270186693,0.3270966252484396,0.40680754078120684,0.4061509027102448,0.3600253750085726,0.390776596900214,0.3238693994283188
391.55,0.07442410564750744,0.06846245155604323,0.07673332966712841,0.07399193137458186,0.06199461774989684,0.06971445081106342,0.0749252707714814,0.08800038748955258,0.08526906606478013,0.09042725521166062,0.0739267327830619,0.0821327916095107,0.09393170281395183,0.09679518690352326,0.0884928521190114,0.08985517752174181,0.09131047837614974,0.08443305931433599,0.0928462303259372,0.1128908025561458,0.1101893615994664,0.10301631226197565,0.09632860839592972,0.10915504173269706,0.12025587458273518,0.1292646639763281,0.13189640349185863,0.12257755966923252,0.12529079435662857,0.13848669327863514,0.14323605171808954,0.14758187369912482,0.15694030619496221,0.13618951320742653,0.16034155531809097,0.1814434224753388,0.16634689166881889,0.1595664238100246,0.15752271849893587,0.15777840033748558,0.17744387205593257,0.17982200147153293,0.17905213890337876,0.1832174840787131,0.1522025293006148,0.17796955479705936,0.20580138543439133,0.2170694699713465,0.1991605127490595,0.19470964607366087,0.18835862004973633,0.2189814693617701,0.2482529148989049,0.2365531970802334,0.255816338355274,0.21264156631101475,0.2288585553122665,0.2897006375566296,0.2875370205826875,0.2752792432191433,0.24575132097665472,0.20796345609499392,0.2637723175554333,0.3016281971174198,0.3201575003386696,0.33526227025021016,0.35636798762002747,0.27302158733031057,0.32059604061793867,0.3806397161205622,0.38387729726215253,0.3410410499012556,0.3582233071344432,0.2990974175870258
393.56,0.07274006368561388,0.0671718797422548,0.07227239555774867,0.07136512754680562,0.06309014115511324,0.06846007693201157,0.07341024288094528,0.08426917230916653,0.08188906286687472,0.08712741164342093,0.07498155627859283,0.08255116330174093,0.09144032784160573,0.09323116330587145,0.085660454321872,0.08688042271905516,0.0886603850672739,0.0842513404362895,0.09248281555425608,0.10893983904192296,0.10492441899832745,0.10224638200928055,0.09615845330919734,0.11212404401135533,0.11387342224259438,0.12552134904552467,0.12287393030590181,0.11775441010037951,0.12069528680535989,0.13166513425890436,0.13280383150794423,0.1388329724942086,0.14970638557238797,0.13302506119902582,0.15948901480316666,0.17497103439674178,0.1623132474611893,0.1527106732873689,0.14694936134388703,0.15366083949006906,0.16370245345950182,0.16963207941796016,0.16918897809457994,0.17215479914396628,0.14955513288023392,0.17255037614812072,0.19803217409304416,0.20667362377364912,0.1859783992307891,0.18661159452960555,0.18596305643509464,0.21265573881823835,0.23212403300263632,0.22739838686706798,0.2449487213518621,0.21441710025008348,0.22612218281709867,0.2731734061211761,0.27296605044408345,0.2665840095577668,0.24504331096162307,0.2053465286559095,0.2544311978046088,0.28483827622762087,0.2956963540852807,0.31412476532800276,0.32615643101681946,0.2662585883584455,0.3069462199468372,0.3587514001929465,0.3572201263180064,0.33584225873049284,0.35016822935506015,0.29984994416705324
395.57,0.06901259977153185,0.06665527309551048,0.07017126626754576,0.06856586603830668,0.06019410315438674,0.06477175617574613,0.0719885518493289,0.0818845244151291,0.07842573762076135,0.0833944258005107,0.07185390774710122,0.07892354455882744,0.08745365994674333,0.08838050914402253,0.08138662171438862,0.08553781308653467,0.08281481377109756,0.07906006236294422,0.08746283423229032,0.1051633147781928,0.09790258344392246,0.09488968794578842,0.08926658318486784,0.10134480153388363,0.10752354418002523,0.11970208266170815,0.1186677198991201,0.11513874875800953,0.11588842523435539,0.12690827151284273,0.12819323710770905,0.13106637839286894,0.13859528178075417,0.12448130594971357,0.14381883405795437,0.1628056099727013,0.1491278223400411,0.14474662983658565,0.1411172630083653,0.14077007429222366,0.15655916677590193,0.15935787802336526,0.15715262390464754,0.16111355716455547,0.13655190580979737,0.16129093582243198,0.18484243230948663,0.18536045518468766,0.17912482933405996,0.1759447171665244,0.17260557892700798,0.2064294346982995,0.2220764240628549,0.20693265290361923,0.23254216349101395,0.20158642319582945,0.2140767129143887,0.2562936340727889,0.25548541482066356,0.2505086251725437,0.22255078495083344,0.1894293953161616,0.23869964852135664,0.2730733411970878,0.28405194188419236,0.29286660145381727,0.30984885201175644,0.2543955938074474,0.29109831198022246,0.332072080363431,0.3240164762270214,0.3091439952063047,0.3181273523372834,0.26766639530829583
397.58,0.06645101051109326,0.06490209067774846,0.06844248467625429,0.06701618080470934,0.059163918684884166,0.06495543540911984,0.06991823233141362,0.07938133368726512,0.07588981513852226,0.08088687748106214,0.07023178205244526,0.07602105514946536,0.0829451207945814,0.08524729641602026,0.07795006385860791,0.08175657753619264,0.08171104958121288,0.0786808334633165,0.08568750712005295,0.1004247711798018,0.09415725997017894,0.0906004059540895,0.08757536982466803,0.09892817143051244,0.1025618557572537,0.11243735895871232,0.11627694948403978,0.11048858537610298,0.11254109499201982,0.12157834272926163,0.12511394608451748,0.12622893725994352,0.131131538720099,0.11913547617816901,0.13699795415286775,0.15025904931865774,0.1418302690864725,0.13967969664360277,0.13443177960544517,0.13795563302308492,0.15368304159633941,0.15551479376129793,0.15048297409525616,0.15197943831145364,0.13001187004897505,0.15433784435853284,0.17773916842366208,0.1818526751020566,0.1700433936228691,0.16945068028047752,0.1677889580158645,0.19229286106422364,0.21011352928605953,0.20370084578152298,0.21095802175929249,0.18883756499513224,0.20070775781835234,0.24056690570577738,0.2366820971058624,0.23573113292509112,0.21510742055299747,0.18427645372904772,0.23167311099946988,0.2551136478731245,0.2662911514756066,0.27922382587745564,0.2862692055377616,0.2390067517664661,0.2753664858820095,0.3130045684866153,0.3080777678633398,0.2964529154683273,0.30738524495944675,0.2680869684339285
399.6,0.06490726958097216,0.06257801373940654,0.06711182321361688,0.06522670730328424,0.05813465329629844,0.06372662282892552,0.06898719003545596,0.07591645593754802,0.07339115952697699,0.07695967093207849,0.0679206263911674,0.0749983315703882,0.08047136936227611,0.0849082145470217,0.07759665043305647,0.07903088036348194,0.07993712417673252,0.07754189119950396,0.08290931049017845,0.09787478053086945,0.0915480899712522,0.08832910075877169,0.08511110169155842,0.09660771464574193,0.09703858943089956,0.10980692994853432,0.11267755205783854,0.10723319904005077,0.10912207491221944,0.11630933964446175,0.1174291076767593,0.11848184063490302,0.12602588421527453,0.11785778871702998,0.13511731431755816,0.14449243260427383,0.13939858452627027,0.1368513641457698,0.12940262165236163,0.13496757916512395,0.14207393081517566,0.14832218634686348,0.14388352874441576,0.14377301733665088,0.12741482101864657,0.15096987929611672,0.16772496716508295,0.17375105905483168,0.16437376468418297,0.16153807516012758,0.1618093912768907,0.18317785535236175,0.20326218252255157,0.19209347726228757,0.2024671195742611,0.17847329509402984,0.19462020996862067,0.2270705800332217,0.22483811736920076,0.22449415078402762,0.20953868089598943,0.182481471433476,0.2223730281608341,0.23882466476461456,0.25148960042601154,0.2629548050805865,0.26992439984363703,0.22870615754630136,0.2719780859079426,0.2904256159909323,0.29668157954149293,0.28068860834074605,0.2959489706926061,0.25875161392510776
