distance (mm),height (um)
0.0,0.0
0.001467836,0.0018495258699999999
0.002935672,0.00219029576
0.004403509,0.002815421384
0.005871345,0.0017869313819999998
0.007339181,0.002201958524
0.008807017,0.0030041163270000002
0.010274854,0.002181817445
0.01174269,0.001907840851
0.013210526,0.002191533933
0.014678362,0.002276203607
0.016146198,0.0018656074769999999
0.017614035,0.002745204844
0.019081871,0.00296308522
0.020549707,0.002256051785
0.022017543,0.002534187138
0.023485379,0.002903253619
0.024953216,0.0022380367479999997
0.026421052,0.002175627185
0.027888888,0.003224606507
0.029356724,0.0031131505869999997
0.030824561,0.00228573567
0.032292397,0.0020854046610000003
0.033760233,0.0020727448339999998
0.035228069,0.0013751316119999999
0.036695905,0.001374687129
0.038163742,0.0018672632659999999
0.039631578,0.0015839692830000001
0.041099414,0.001469755674
0.04256725,0.002469833372
0.044035087,0.002260969797
0.045502923,0.0015224919969999999
0.046970759,0.00179373333
0.048438595,0.002296358794
0.049906431,0.001733933548
0.051374268,0.0015428269949999999
0.052842104,0.0018818538090000002
0.05430994,0.001535560163
0.055777776,0.001124307372
0.057245612,0.0014704261279999999
0.058713449,0.001080446129
0.060181285,0.000436327305
0.061649121,0.0009191672429999999
0.063116957,0.0011527140170000001
0.064584794,0.001143430435
0.06605263,0.0015756687629999999
0.067520466,0.002519706123
0.068988302,0.0023922443530000003
0.070456138,0.001940726339
0.071923975,0.0024679652669999997
0.073391811,0.002754920638
0.074859647,0.002244244732
0.076327483,0.0029301085210000004
0.07779532,0.003504116441
0.079263156,0.0028468988519999997
0.080730992,0.003240306996
0.082198828,0.0034688265079999996
0.083666664,0.0029159965219999998
0.085134501,0.002352181377
0.086602337,0.003314343768
0.088070173,0.003410193851
0.089538009,0.0030708058660000002
0.091005845,0.0037387816119999998
0.092473682,0.004216985815
0.093941518,0.003487815968
0.095409354,0.003850220423
0.09687719,0.004369912098000001
0.098345027,0.0040652995
0.099812863,0.004163394741
0.101280699,0.004665387886000001
0.102748535,0.004541298329
0.104216371,0.0038033701729999997
0.105684208,0.004435581512
0.107152044,0.004695355264
0.10861988,0.003774161793
0.110087716,0.0039057218
0.111555553,0.004565457931
0.113023389,0.004730075534
0.114491225,0.00468801081
0.115959061,0.005996731293
0.117426897,0.006028604475
0.118894734,0.005670988728000001
0.12036257,0.005931244719999999
0.121830406,0.006371660626
0.123298242,0.006076753436
0.124766079,0.006495860349
0.126233915,0.007487519991
0.127701751,0.006886981718
0.129169587,0.006401017458
0.130637423,0.00690270546
0.13210526,0.006707342616
0.133573096,0.005927946193999999
0.135040932,0.006166168511000001
0.136508768,0.006671048657
0.137976604,0.007062154368
0.139444441,0.007024556475
0.140912277,0.007727350499
0.142380113,0.007429643505
0.143847949,0.0070059840600000005
0.145315786,0.008044700391999999
0.146783622,0.008142360972
0.148251458,0.007540985902
0.149719294,0.007995873881
0.15118713,0.008282670023
0.152654967,0.0074318269160000006
0.154122803,0.007468633988
0.155590639,0.007885522477000001
0.157058475,0.007489062976
0.158526312,0.007172893746
0.159994148,0.007333144746
0.161461984,0.007771733176
0.16292982,0.007721852871
0.164397656,0.008605628091
0.165865493,0.009343597364
0.167333329,0.008767255296
0.168801165,0.009396439368
0.170269001,0.009975185535999999
0.171736837,0.009745920897
0.173204674,0.009302495729
0.17467251,0.01020931848
0.176140346,0.01028547113
0.177608182,0.009630300565000001
0.179076019,0.009618472798
0.180543855,0.009722083888000001
0.182011691,0.00862733035
0.183479527,0.008920318832999999
0.184947363,0.009386669523
0.1864152,0.009209113578
0.187883036,0.009156396361000001
0.189350872,0.011393036110000001
0.190818708,0.01404585064
0.192286545,0.01960903217
0.193754381,0.03235647863
0.195222217,0.05617237424
0.196690053,0.09631420565000001
0.198157889,0.1628206724
0.199625726,0.26551425419999997
0.201093562,0.4142810579
0.202561398,0.6195127682999999
0.204029234,0.8903270407
0.20549707,1.2286788059999998
0.206964907,1.582826689
0.208432743,1.931108459
0.209900579,2.2842268989999996
0.211368415,2.638872857
0.212836252,3.0160786710000003
0.214304088,3.319140414
0.215771924,3.5213262800000003
0.21723976,3.6486859330000003
0.218707596,3.7548631529999996
0.220175433,3.843512754
0.221643269,3.919961711
0.223111105,4.021254268
0.224578941,4.107838361
0.226046778,4.162912778
0.227514614,4.204476093999999
0.22898245,4.239046062000001
0.230450286,4.267652117
0.231918122,4.291190032
0.233385959,4.3104583860000005
0.234853795,4.326182171
0.236321631,4.338996666
0.237789467,4.349439735
0.239257303,4.357954404
0.24072514,4.364904825
0.242192976,4.370586312
0.243660812,4.3752341790000004
0.245128648,4.379044093
0.246596485,4.382175443
0.248064321,4.384755019
0.249532157,4.386885642999999
0.250999993,4.388651257
0.252467829,4.390120226
0.253935666,4.391348157
0.255403502,4.392380237999999
0.256871338,4.3932531820000005
0.258339174,4.393996815
0.259807011,4.39463537
0.261274847,4.395188536
0.262742683,4.395672315
0.264210519,4.3960997100000005
0.265678355,4.396481285
0.267146192,4.396825627
0.268614028,4.397139712
0.270081864,4.397429212
0.2715497,4.397698733
0.273017536,4.397952019
0.274485373,4.398192113
0.275953209,4.398421486
0.277421045,4.3986421469999994
0.278888881,4.398788048
0.280356718,4.398603062
0.281824554,4.397769853
0.28329239,4.3956381339999995
0.284760226,4.391045965
0.286228062,4.382145695999999
0.287695899,4.366256262
0.289163735,4.339734389999999
0.290631571,4.298232361
0.292099407,4.237115982000001
0.293567244,4.1521072640000005
0.29503508,4.040165969
0.296502916,3.90021794
0.297970752,3.744457347
0.299438588,3.603016725
0.300906425,3.465119595
0.302374261,3.330733562
0.303842097,3.2044548180000003
0.305309933,3.085323272
0.30677777,2.9656391010000003
0.308245606,2.851822851
0.309713442,2.738351287
0.311181278,2.62226648
0.312649114,2.51387959
0.314116951,2.413305759
0.315584787,2.3120894130000003
0.317052623,2.2138911290000003
0.318520459,2.1296291270000003
0.319988295,2.062029265
0.321456132,2.0106754000000002
0.322923968,1.974938021
0.324391804,1.952918371
0.32585964,1.938221622
0.327327477,1.927737595
