wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
381.51,18.245585000000002,15.920864999999997,13.555665,12.809970000000002,13.23085,10.904073,13.607902,13.201310000000003,10.802458,12.920803,12.5,12.018431,14.10437,12.552375,12.424083000000001,13.921111,14.884755,14.130192999999998,13.575764999999999,10.044969499999999,10.86,8.070833,8.5143335,13.907073,9.221394,10.896161,11.502858,9.2568445,7.272143000000001,10.611332999999998,9.750133,10.110333,11.959041999999998,12.341384000000001,15.625164999999999,12.294327000000001,12.346295,9.353259,11.106468999999999,9.457981,7.404808,11.396078999999999,10.522197000000002,8.893128,9.972605,14.939439999999998,8.3359515,9.576289000000001,9.529190700000001,9.816625,10.858018999999999,11.228756,13.653416999999997,11.985714,9.236007,9.9326666,20.604736,10.356172999999998,8.548555,10.519179999999999,8.86975,8.8394586,7.710291999999999,6.6179553,7.883422000000001,8.4329584,8.504571499999999,18.407619999999998,8.3647797,12.811422,16.270311,13.833594000000002
383.52,13.227057,13.122698999999999,11.041424999999998,11.551826000000002,11.229934000000002,12.676741,11.650490999999999,13.039086999999999,11.525583,11.104911,10.273959,8.830195999999999,13.743472999999998,9.731208500000001,10.878875,13.353849,14.68063,11.428334,8.8746936,8.852970000000001,7.456818,8.413416999999999,10.766238,12.071085,8.742356,9.986161,7.7232965,7.816577999999999,8.4200446,8.437625,8.705822,8.236852,11.888625,10.912634,11.739672,8.888109,9.130089000000002,7.783185399999999,9.588373,7.893077,7.859808,7.929432,7.8778570000000006,9.644667,10.123992,11.914706,8.583979500000002,7.494336,7.4778094,7.9254584,9.041764500000001,8.915244,9.2705835,10.892858,8.802847,7.3934357,15.920587999999999,7.878673999999999,9.0953705,8.348085999999999,7.965499999999999,7.324583,7.1480835,8.58,6.963467000000001,8.9513336,8.120428500000001,15.3591,10.710183999999998,10.585778,13.705917000000001,12.277538999999999
385.52,11.711171,10.852594999999997,12.184923,11.387058999999999,11.172941,11.922999999999998,12.55308,12.179841,9.2745416,10.2321875,9.4688336,9.753255000000001,10.856919000000001,9.736625,11.284083,10.238373000000001,11.469650999999999,11.055193,8.6803064,7.598787999999999,6.296869000000001,6.635249999999999,7.411429,12.551315999999998,6.498461,6.4851790000000005,6.149121,7.192133,5.4597766,5.510833000000001,6.619688999999999,7.5376666,8.042292,8.621518,12.543849000000002,7.972605,6.4130804,6.8486664,5.685714000000001,6.998749999999999,6.314710999999999,8.201648,8.309890000000001,7.317691999999999,7.877059,12.088403,8.3382007,7.725625,7.309,8.124375,7.904582,7.927021999999999,10.441167,8.791286,9.340868,8.819077,14.403809,9.271989999999999,9.108037000000001,8.9128516,7.738875,7.94125,7.413,6.754133000000001,7.039067,7.6873334,7.442762,13.028834999999999,7.8837866,6.803333,11.957578,11.894922
387.53,9.746388,9.5758826,9.0903406,9.602941,8.904902,8.418555,9.0946875,9.861389,7.779916399999999,7.8583484,7.892,8.024666999999999,10.2148737,7.8211664,7.6957916,7.3624206999999995,9.587691999999999,6.601539000000001,7.863112,6.4441815,6.945505000000001,6.946125,6.9917145,9.756283,7.015384500000001,8.795179000000001,6.554835000000001,5.192622,5.6937054,5.867792,6.3701776,8.648778,8.019375,9.230580400000001,8.488816,7.1976890000000004,5.6336163,5.380333,4.6864682,4.8574518,3.8809616,6.2073865,5.4912085,5.2320514000000005,6.612353,10.311765000000001,6.1263324,4.9358594,4.9512857,6.107167,5.2438080000000005,5.6978219999999995,6.86675,5.9677620000000005,7.103993,7.076257000000001,9.894860999999999,8.4717346,6.951259,6.820976600000001,6.560208000000001,5.630375,6.776583,6.115867,5.211778000000001,6.0729584,5.478571,11.819814,4.4507352000000004,6.239910999999999,9.818408,8.6835156
389.54,10.684147000000001,9.294566999999999,9.576501500000001,9.75226,9.021667,9.681073999999999,11.043213999999999,10.61627,9.862124999999999,10.353572,8.467833,9.065098,9.15098,7.85275,8.4151666,8.723373,8.223077,7.3163464,8.237398,7.016909,5.9032324,5.684042,6.6971906,8.195033,6.785289,8.372232,6.364835,5.3256445,5.733214,8.231625000000001,7.1169336,7.450925999999999,9.047292,8.833125,9.128881999999999,6.145924,6.500223399999999,6.966148,5.980277999999999,5.465914000000001,5.554710999999999,6.180398,5.510494400000001,5.763282,6.924748,9.621120600000001,5.942007,5.685625,5.0059525,5.5895416,6.388143,7.861022299999999,5.632625,4.9335715,6.191285000000001,5.8855382999999994,12.038080999999998,6.3212244,6.66137,7.8401952999999995,6.9118335,6.240333000000001,5.838833600000001,5.278311,5.8444,5.511375,5.2114764000000005,10.451587,6.1505884,6.151022299999999,9.573114,8.778359400000001
391.55,8.867792399999999,8.868165999999999,10.642074,10.450248,10.388463999999999,9.640704,10.793928000000001,9.2110315,8.333375,9.01375,9.18825,7.841412,9.538599,8.101125,7.025333,8.074801599999999,10.313776,7.703269,6.1569899999999995,6.706060999999999,6.659192,6.7162085,5.787618999999999,8.876085999999999,5.0409134,6.7560709999999995,6.9074176000000005,6.879778,5.6299554,6.6195,6.100978,6.952296,7.310499999999999,6.1109375,9.46977,7.087689,5.606518,5.480703999999999,5.0300397,5.840914000000001,5.474327,6.0150570000000005,5.545109999999999,5.858,5.0042017,10.168095,5.497854599999999,5.635781,4.9595715,4.6884167,5.428545000000001,5.317066700000001,5.351667,5.618333000000001,6.510347000000001,5.218717699999999,10.025231999999999,5.912347,6.178999999999999,6.641875,5.1237085,3.2494583,3.6714166,3.7311557000000004,3.4913780000000005,4.805416599999999,4.3962857,10.04664,4.4814337,4.0460443,8.558478,9.315351600000001
393.56,9.879565399999999,9.653841,9.639381,8.2125696,8.5622546,9.7284076,9.564195999999999,8.287897000000001,8.2920416,8.49125,8.1039166,8.363019399999999,8.9979834,6.9982086,6.3785834,6.551786,8.615664,7.487372000000001,6.000051,6.993939,7.052071,6.420958000000001,6.108143,8.821776,5.460336,6.287723400000001,6.130824,5.408310999999999,5.6693750000000005,6.157375,4.624755599999999,6.018926,5.112375,6.0094196,9.260855,5.9435709999999995,5.5151337,4.5033704,4.223730199999999,5.6872595,5.143317,5.600398,5.473571,4.801794699999999,4.6806723,10.365714,4.316159,5.075234399999999,3.5025714,4.4265,4.133282,4.7345776,4.6897082999999995,5.185333,4.430139,4.340512700000001,10.365109,4.7839795,4.863074,4.998632799999999,4.5695,4.203625000000001,4.1243332,5.0466223,4.0976443,4.3111667,4.105809600000001,10.120979,4.7224265,4.2703109999999995,8.8517993,8.172617
395.57,10.786722,9.330761,10.516378,9.536718,9.7169934,10.369889,9.4614734,8.349762,8.24375,8.3628125,8.139625,8.622471,8.654454,7.392833,7.3130835,7.414524,7.7688109999999995,6.5147437,7.493674,7.0430304,5.1963635,6.043208600000001,6.3304285,8.315164,5.667308000000001,6.4516516,5.2373627,6.592933299999999,5.425982,6.0182916,5.5493335,5.6679260000000005,5.7980414,5.2470984,8.830033,5.2584454,5.5036163,4.672074,4.8540475,5.074471,5.4571155,6.548636500000001,5.283022,4.7634872,4.7030252,9.732773,5.5202423,5.330195300000001,4.1284285999999994,4.217291599999999,4.5909906,4.605111,4.949916699999999,4.840618999999999,4.642257000000001,3.9482565,10.717802,4.386632700000001,4.5937408,5.820664000000001,4.5837918,3.9332916000000004,3.3322082999999996,3.3655554000000003,4.041911,4.2766665999999995,3.4207144,9.691217,4.4590073,4.023555600000001,9.323149,8.6008203
397.58,9.585719000000001,8.448962,9.349474,8.8040247,9.192124,8.980852,9.524375000000001,8.3110315,8.111667,8.147321,9.1582086,8.3103925,7.867114999999999,8.080207999999999,8.0567914,7.2317065,7.949161,5.346603,5.926174,5.8083029999999995,5.156363499999999,6.9856665,5.6394763,8.695395,6.030816999999999,5.9045087,5.257747000000001,5.0040445,4.2221874999999995,5.4411664,4.6946222,5.267111,5.773333,5.0333035,9.515032999999999,3.7635715,5.6154913,4.4826666,5.045198399999999,4.4072116,5.5400963999999995,5.074091,5.4997799999999994,4.766,4.371260400000001,9.512913,4.5895157,4.4527344,4.2967618,4.8634583,4.5117957,4.294355499999999,4.6710416,5.293523599999999,5.1799304,4.4239487,10.165944,4.0490308,4.5847037,4.504453,3.9680417,4.1066666,3.4784583000000002,3.241111,3.9547556,3.9057083,3.6760477,8.101746,3.7335293999999997,3.2045334000000003,7.862976,7.789062500000001
399.6,9.276957,8.924394499999998,9.8933746,8.910929,9.5450653,9.147407,10.258616,8.584643,7.4464166,7.4474554,7.339625,7.581412,8.378095,6.871,7.226291499999999,7.33873,8.3102795,5.415897,6.3811224,6.522121,5.506616,5.7922080000000005,6.021,7.72727,6.0516345,6.594643,4.1855493,4.460489,4.8320535,5.4492914,5.3284,5.913703600000001,5.796625000000001,5.9888390000000005,9.702599000000001,4.1659665,4.868839400000001,4.816,4.3029364,5.060576800000001,5.4982214,5.343409,5.371429000000001,5.765846,4.467269,10.030532,4.059584699999999,4.0660547000000005,3.451619,4.3268332,4.271641000000001,4.2172,3.8720416,4.1205713,4.9115625000000005,3.5104614,10.728049,3.5614285000000003,4.4978888,4.888476600000001,4.134125,4.3955417,3.1620000000000004,3.1151109999999997,4.000400000000001,3.5272082999999994,3.5058571999999995,8.828095,3.6470586999999997,3.3772888,8.6594464,8.268633
